"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Households without Broadband Cable, Fiber Optic, or DSL","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Census Tract","06067001601","CA","06067001601","=""06067001601""","11.25","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001602","CA","06067001602","=""06067001602""","16.90","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001701","CA","06067001701","=""06067001701""","22.32","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001702","CA","06067001702","=""06067001702""","30.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","21.59","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","22.12","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","21.13","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","29.20","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002200","CA","06067002200","=""06067002200""","24.30","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002300","CA","06067002300","=""06067002300""","15.47","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002400","CA","06067002400","=""06067002400""","11.61","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002500","CA","06067002500","=""06067002500""","19.04","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002600","CA","06067002600","=""06067002600""","20.94","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002700","CA","06067002700","=""06067002700""","22.86","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002800","CA","06067002800","=""06067002800""","37.02","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067002900","CA","06067002900","=""06067002900""","17.05","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003001","CA","06067003001","=""06067003001""","23.24","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003002","CA","06067003002","=""06067003002""","18.85","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003101","CA","06067003101","=""06067003101""","35.76","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003102","CA","06067003102","=""06067003102""","24.66","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003202","CA","06067003202","=""06067003202""","38.07","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003203","CA","06067003203","=""06067003203""","35.29","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003204","CA","06067003204","=""06067003204""","32.78","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003300","CA","06067003300","=""06067003300""","12.89","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003400","CA","06067003400","=""06067003400""","26.54","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003501","CA","06067003501","=""06067003501""","29.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003502","CA","06067003502","=""06067003502""","35.29","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003600","CA","06067003600","=""06067003600""","38.41","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003700","CA","06067003700","=""06067003700""","49.25","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003800","CA","06067003800","=""06067003800""","26.27","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067003900","CA","06067003900","=""06067003900""","21.50","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004005","CA","06067004005","=""06067004005""","21.32","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004006","CA","06067004006","=""06067004006""","24.38","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004008","CA","06067004008","=""06067004008""","25.15","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004011","CA","06067004011","=""06067004011""","20.35","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004012","CA","06067004012","=""06067004012""","15.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004013","CA","06067004013","=""06067004013""","22.46","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004014","CA","06067004014","=""06067004014""","34.08","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004015","CA","06067004015","=""06067004015""","23.34","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004016","CA","06067004016","=""06067004016""","8.06","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004017","CA","06067004017","=""06067004017""","18.96","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004018","CA","06067004018","=""06067004018""","4.62","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004019","CA","06067004019","=""06067004019""","21.92","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004020","CA","06067004020","=""06067004020""","22.21","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004100","CA","06067004100","=""06067004100""","32.55","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004201","CA","06067004201","=""06067004201""","21.62","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004202","CA","06067004202","=""06067004202""","31.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004203","CA","06067004203","=""06067004203""","40.38","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004301","CA","06067004301","=""06067004301""","31.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004302","CA","06067004302","=""06067004302""","29.36","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004401","CA","06067004401","=""06067004401""","38.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004402","CA","06067004402","=""06067004402""","35.58","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004501","CA","06067004501","=""06067004501""","47.03","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004502","CA","06067004502","=""06067004502""","28.51","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004602","CA","06067004602","=""06067004602""","37.30","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004603","CA","06067004603","=""06067004603""","40.91","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004604","CA","06067004604","=""06067004604""","41.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004701","CA","06067004701","=""06067004701""","34.55","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004702","CA","06067004702","=""06067004702""","33.31","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004801","CA","06067004801","=""06067004801""","28.76","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004802","CA","06067004802","=""06067004802""","33.16","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004904","CA","06067004904","=""06067004904""","28.09","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004906","CA","06067004906","=""06067004906""","29.26","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004907","CA","06067004907","=""06067004907""","34.69","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004908","CA","06067004908","=""06067004908""","26.97","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004909","CA","06067004909","=""06067004909""","35.19","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067004910","CA","06067004910","=""06067004910""","30.31","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005002","CA","06067005002","=""06067005002""","40.08","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005003","CA","06067005003","=""06067005003""","36.31","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005004","CA","06067005004","=""06067005004""","21.16","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005101","CA","06067005101","=""06067005101""","25.69","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005102","CA","06067005102","=""06067005102""","29.03","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005201","CA","06067005201","=""06067005201""","41.18","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005202","CA","06067005202","=""06067005202""","24.02","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005204","CA","06067005204","=""06067005204""","24.17","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005205","CA","06067005205","=""06067005205""","26.01","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005301","CA","06067005301","=""06067005301""","42.58","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005402","CA","06067005402","=""06067005402""","23.18","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005403","CA","06067005403","=""06067005403""","13.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005404","CA","06067005404","=""06067005404""","24.58","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005502","CA","06067005502","=""06067005502""","37.80","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005505","CA","06067005505","=""06067005505""","20.48","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005506","CA","06067005506","=""06067005506""","36.94","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005508","CA","06067005508","=""06067005508""","27.96","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005509","CA","06067005509","=""06067005509""","24.24","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005510","CA","06067005510","=""06067005510""","20.93","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005601","CA","06067005601","=""06067005601""","28.95","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005605","CA","06067005605","=""06067005605""","36.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005606","CA","06067005606","=""06067005606""","11.04","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005701","CA","06067005701","=""06067005701""","10.35","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005702","CA","06067005702","=""06067005702""","8.61","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005801","CA","06067005801","=""06067005801""","15.14","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005803","CA","06067005803","=""06067005803""","15.19","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005804","CA","06067005804","=""06067005804""","17.79","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005901","CA","06067005901","=""06067005901""","22.32","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005903","CA","06067005903","=""06067005903""","30.61","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067005904","CA","06067005904","=""06067005904""","25.72","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006002","CA","06067006002","=""06067006002""","30.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006003","CA","06067006003","=""06067006003""","30.24","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006004","CA","06067006004","=""06067006004""","31.64","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006101","CA","06067006101","=""06067006101""","40.04","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006102","CA","06067006102","=""06067006102""","23.60","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006202","CA","06067006202","=""06067006202""","40.04","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006203","CA","06067006203","=""06067006203""","44.30","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006204","CA","06067006204","=""06067006204""","41.77","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006300","CA","06067006300","=""06067006300""","34.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006400","CA","06067006400","=""06067006400""","42.93","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006501","CA","06067006501","=""06067006501""","60.35","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006502","CA","06067006502","=""06067006502""","28.57","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006600","CA","06067006600","=""06067006600""","57.44","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006703","CA","06067006703","=""06067006703""","18.59","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006704","CA","06067006704","=""06067006704""","19.02","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006705","CA","06067006705","=""06067006705""","34.59","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006706","CA","06067006706","=""06067006706""","33.33","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006801","CA","06067006801","=""06067006801""","40.67","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006802","CA","06067006802","=""06067006802""","50.12","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006803","CA","06067006803","=""06067006803""","54.58","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006901","CA","06067006901","=""06067006901""","27.06","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067006902","CA","06067006902","=""06067006902""","37.85","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007001","CA","06067007001","=""06067007001""","42.90","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007007","CA","06067007007","=""06067007007""","27.74","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007010","CA","06067007010","=""06067007010""","16.46","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007011","CA","06067007011","=""06067007011""","26.24","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007012","CA","06067007012","=""06067007012""","25.88","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007013","CA","06067007013","=""06067007013""","19.98","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007016","CA","06067007016","=""06067007016""","22.59","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007017","CA","06067007017","=""06067007017""","10.34","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007019","CA","06067007019","=""06067007019""","20.93","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007020","CA","06067007020","=""06067007020""","11.06","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007021","CA","06067007021","=""06067007021""","18.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007022","CA","06067007022","=""06067007022""","23.09","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007023","CA","06067007023","=""06067007023""","19.17","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007024","CA","06067007024","=""06067007024""","16.49","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007025","CA","06067007025","=""06067007025""","11.71","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007026","CA","06067007026","=""06067007026""","16.06","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007027","CA","06067007027","=""06067007027""","11.85","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007028","CA","06067007028","=""06067007028""","11.09","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007101","CA","06067007101","=""06067007101""","34.12","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007103","CA","06067007103","=""06067007103""","9.77","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007105","CA","06067007105","=""06067007105""","13.89","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007106","CA","06067007106","=""06067007106""","7.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007107","CA","06067007107","=""06067007107""","19.05","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007108","CA","06067007108","=""06067007108""","8.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007109","CA","06067007109","=""06067007109""","12.35","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007110","CA","06067007110","=""06067007110""","12.55","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007111","CA","06067007111","=""06067007111""","17.15","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007202","CA","06067007202","=""06067007202""","16.27","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007204","CA","06067007204","=""06067007204""","29.72","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007206","CA","06067007206","=""06067007206""","22.72","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007207","CA","06067007207","=""06067007207""","21.48","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007208","CA","06067007208","=""06067007208""","11.14","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007209","CA","06067007209","=""06067007209""","17.72","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007301","CA","06067007301","=""06067007301""","31.85","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007402","CA","06067007402","=""06067007402""","31.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007403","CA","06067007403","=""06067007403""","33.90","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007413","CA","06067007413","=""06067007413""","30.91","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007414","CA","06067007414","=""06067007414""","18.96","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007415","CA","06067007415","=""06067007415""","23.40","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007416","CA","06067007416","=""06067007416""","33.91","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007417","CA","06067007417","=""06067007417""","13.90","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007422","CA","06067007422","=""06067007422""","26.88","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007423","CA","06067007423","=""06067007423""","32.91","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007424","CA","06067007424","=""06067007424""","34.77","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007426","CA","06067007426","=""06067007426""","13.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007427","CA","06067007427","=""06067007427""","14.22","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007428","CA","06067007428","=""06067007428""","17.91","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007429","CA","06067007429","=""06067007429""","22.92","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007430","CA","06067007430","=""06067007430""","18.75","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007431","CA","06067007431","=""06067007431""","17.69","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007432","CA","06067007432","=""06067007432""","8.83","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007434","CA","06067007434","=""06067007434""","26.50","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007435","CA","06067007435","=""06067007435""","39.54","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007436","CA","06067007436","=""06067007436""","12.47","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007437","CA","06067007437","=""06067007437""","9.07","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007438","CA","06067007438","=""06067007438""","40.41","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007439","CA","06067007439","=""06067007439""","17.29","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007501","CA","06067007501","=""06067007501""","26.17","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007503","CA","06067007503","=""06067007503""","17.97","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007504","CA","06067007504","=""06067007504""","20.35","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007602","CA","06067007602","=""06067007602""","21.07","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007603","CA","06067007603","=""06067007603""","22.18","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007604","CA","06067007604","=""06067007604""","21.18","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007701","CA","06067007701","=""06067007701""","33.31","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007702","CA","06067007702","=""06067007702""","17.56","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007801","CA","06067007801","=""06067007801""","23.86","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007802","CA","06067007802","=""06067007802""","22.89","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007903","CA","06067007903","=""06067007903""","20.89","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007904","CA","06067007904","=""06067007904""","19.19","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007905","CA","06067007905","=""06067007905""","14.62","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067007906","CA","06067007906","=""06067007906""","16.35","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008005","CA","06067008005","=""06067008005""","13.54","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008006","CA","06067008006","=""06067008006""","9.27","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008007","CA","06067008007","=""06067008007""","20.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008008","CA","06067008008","=""06067008008""","12.45","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008009","CA","06067008009","=""06067008009""","24.77","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008010","CA","06067008010","=""06067008010""","17.29","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008111","CA","06067008111","=""06067008111""","14.64","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008113","CA","06067008113","=""06067008113""","17.09","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008117","CA","06067008117","=""06067008117""","15.08","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008119","CA","06067008119","=""06067008119""","18.06","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008120","CA","06067008120","=""06067008120""","22.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008122","CA","06067008122","=""06067008122""","16.74","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008124","CA","06067008124","=""06067008124""","15.28","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008125","CA","06067008125","=""06067008125""","11.30","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008127","CA","06067008127","=""06067008127""","22.50","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008128","CA","06067008128","=""06067008128""","26.86","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008129","CA","06067008129","=""06067008129""","35.01","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008130","CA","06067008130","=""06067008130""","25.48","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008131","CA","06067008131","=""06067008131""","20.16","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008132","CA","06067008132","=""06067008132""","13.60","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008133","CA","06067008133","=""06067008133""","23.14","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008134","CA","06067008134","=""06067008134""","13.81","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008135","CA","06067008135","=""06067008135""","24.84","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008136","CA","06067008136","=""06067008136""","15.15","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008137","CA","06067008137","=""06067008137""","25.43","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008138","CA","06067008138","=""06067008138""","21.31","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008139","CA","06067008139","=""06067008139""","22.64","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008140","CA","06067008140","=""06067008140""","15.33","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008141","CA","06067008141","=""06067008141""","25.07","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008142","CA","06067008142","=""06067008142""","22.58","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067008143","CA","06067008143","=""06067008143""","23.35","2016-2020","2020","Census","Sacramento (County, 2020)"
