GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNHE001,RR7E001,NAME_M,RNHM001,RR7M001
"G0101210","2005-2009",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",35865,84500,"Talladega County, Alabama",1484,2774
"G0101230","2005-2009",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",36637,88100,"Tallapoosa County, Alabama",2425,5496
"G0101250","2005-2009",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",39579,142600,"Tuscaloosa County, Alabama",1256,2808
"G0101270","2005-2009",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",36708,78900,"Walker County, Alabama",1614,3656
"G0101290","2005-2009",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",34738,73600,"Washington County, Alabama",6322,13270
"G0101310","2005-2009",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",22006,53400,"Wilcox County, Alabama",2565,8960
"G0101330","2005-2009",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",29818,77700,"Winston County, Alabama",2747,5334
"G0200130","2005-2009",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",56250,122100,"Aleutians East Borough, Alaska",12637,17484
"G0200160","2005-2009",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",72989,165400,"Aleutians West Census Area, Alaska",6308,60346
"G0200200","2005-2009",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",70151,255900,"Anchorage Municipality, Alaska",1348,3454
"G0200500","2005-2009",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",53120,119200,"Bethel Census Area, Alaska",3096,8444
"G0200600","2005-2009",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",62500,170500,"Bristol Bay Borough, Alaska",15856,17948
"G0200680","2005-2009",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",76250,167000,"Denali Borough, Alaska",12255,20482
"G0200700","2005-2009",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",60466,171900,"Dillingham Census Area, Alaska",6281,13390
"G0200900","2005-2009",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",65121,198200,"Fairbanks North Star Borough, Alaska",2254,4885
"G0201000","2005-2009",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",44284,186300,"Haines Borough, Alaska",4930,42803
"G0201050","2005-2009",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",43208,169000,"Hoonah-Angoon Census Area, Alaska",4597,22840
"G0201100","2005-2009",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",76437,284000,"Juneau City and Borough, Alaska",4382,8992
"G0201220","2005-2009",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",55966,183000,"Kenai Peninsula Borough, Alaska",2267,5487
"G0201300","2005-2009",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",57500,209600,"Ketchikan Gateway Borough, Alaska",6375,16815
"G0201500","2005-2009",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",59655,173800,"Kodiak Island Borough, Alaska",5664,21042
"G0201640","2005-2009",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",41458,169600,"Lake and Peninsula Borough, Alaska",10895,20463
"G0201700","2005-2009",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",66052,205000,"Matanuska-Susitna Borough, Alaska",1869,3809
"G0201800","2005-2009",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",55766,129500,"Nome Census Area, Alaska",4780,20865
"G0201850","2005-2009",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",66556,143400,"North Slope Borough, Alaska",6122,16960
"G0201880","2005-2009",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",57885,132100,"Northwest Arctic Borough, Alaska",3252,7813
"G0201950","2005-2009",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",61115,181700,"Petersburg Census Area, Alaska",9649,28939
"G0201980","2005-2009",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",45889,144000,"Prince of Wales-Hyder Census Area, Alaska",2831,24960
"G0202200","2005-2009",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",58895,317600,"Sitka City and Borough, Alaska",3740,30933
"G0202300","2005-2009",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",71295,259800,"Skagway Municipality, Alaska",4544,45391
"G0202400","2005-2009",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",59407,159300,"Southeast Fairbanks Census Area, Alaska",4187,10901
"G0202610","2005-2009",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",55952,163700,"Valdez-Cordova Census Area, Alaska",4889,8020
"G0202700","2005-2009",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",36712,70300,"Wade Hampton Census Area, Alaska",3060,7637
"G0202750","2005-2009",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",49508,167200,"Wrangell City and Borough, Alaska",7833,23189
"G0202820","2005-2009",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",66250,151700,"Yakutat City and Borough, Alaska",18390,16327
"G0202900","2005-2009",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",33716,89900,"Yukon-Koyukuk Census Area, Alaska",2358,8479
"G0400010","2005-2009",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",28378,83400,"Apache County, Arizona",1620,2982
"G0400030","2005-2009",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",43304,148900,"Cochise County, Arizona",1236,4658
"G0400050","2005-2009",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",48259,254700,"Coconino County, Arizona",1939,8067
"G0400070","2005-2009",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",36930,151200,"Gila County, Arizona",1856,6141
"G0400090","2005-2009",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",40889,109300,"Graham County, Arizona",1670,6726
"G0400110","2005-2009",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",45476,64800,"Greenlee County, Arizona",3969,6987
"G0400120","2005-2009",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",31640,97700,"La Paz County, Arizona",2137,14518
"G0400130","2005-2009",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",55223,243300,"Maricopa County, Arizona",356,990
"G0400150","2005-2009",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",40157,179300,"Mohave County, Arizona",1141,5269
"G0400170","2005-2009",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",38197,123700,"Navajo County, Arizona",1429,7647
"G0400190","2005-2009",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",45885,196900,"Pima County, Arizona",497,1477
"G0400210","2005-2009",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",49301,169700,"Pinal County, Arizona",1031,2921
"G0400230","2005-2009",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",37204,146500,"Santa Cruz County, Arizona",2772,6724
"G0400250","2005-2009",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",43965,232700,"Yavapai County, Arizona",1000,4249
"G0400270","2005-2009",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",38854,132300,"Yuma County, Arizona",1242,4411
"G0500010","2005-2009",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",36341,74200,"Arkansas County, Arkansas",2293,3839
"G0500030","2005-2009",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",33007,60800,"Ashley County, Arkansas",2200,3607
"G0500050","2005-2009",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",34534,111200,"Baxter County, Arkansas",1364,5103
"G0500070","2005-2009",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",50377,153200,"Benton County, Arkansas",1055,2510
"G0500090","2005-2009",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",36839,102400,"Boone County, Arkansas",1759,5861
"G0500110","2005-2009",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",26207,58200,"Bradley County, Arkansas",3273,6895
"G0500130","2005-2009",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",32148,46900,"Calhoun County, Arkansas",4146,6685
"G0500150","2005-2009",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",32978,112900,"Carroll County, Arkansas",2221,8638
"G0500170","2005-2009",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",20543,49900,"Chicot County, Arkansas",2512,7103
"G0500190","2005-2009",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",31409,76500,"Clark County, Arkansas",3204,5581
"G0500210","2005-2009",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",29282,57400,"Clay County, Arkansas",1930,2098
"G0500230","2005-2009",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",36405,103400,"Cleburne County, Arkansas",3532,7447
"G0500250","2005-2009",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",35063,63500,"Cleveland County, Arkansas",3401,4932
"G0500270","2005-2009",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",35258,72300,"Columbia County, Arkansas",3218,4898
"G0500290","2005-2009",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",33554,78300,"Conway County, Arkansas",3171,4768
"G0500310","2005-2009",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",39431,102800,"Craighead County, Arkansas",1996,3872
"G0500330","2005-2009",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",38942,91900,"Crawford County, Arkansas",1849,4448
"G0500350","2005-2009",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",32323,100200,"Crittenden County, Arkansas",1452,4890
"G0500370","2005-2009",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",36036,70900,"Cross County, Arkansas",1116,4402
"G0500390","2005-2009",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",28233,52900,"Dallas County, Arkansas",5113,4714
"G0500410","2005-2009",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",27072,52800,"Desha County, Arkansas",2960,5226
"G0500430","2005-2009",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",32061,69200,"Drew County, Arkansas",3026,6823
"G0500450","2005-2009",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",44600,123000,"Faulkner County, Arkansas",1586,2883
"G0500470","2005-2009",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",30991,78900,"Franklin County, Arkansas",3082,5957
"G0500490","2005-2009",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",30771,81700,"Fulton County, Arkansas",3370,9770
"G0500510","2005-2009",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",36454,122300,"Garland County, Arkansas",1105,4277
"G0500530","2005-2009",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",51238,96200,"Grant County, Arkansas",2288,10514
"G0500550","2005-2009",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",38012,85400,"Greene County, Arkansas",1634,3266
"G0500570","2005-2009",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",35518,65200,"Hempstead County, Arkansas",2556,5727
"G0500590","2005-2009",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",36095,75200,"Hot Spring County, Arkansas",2297,4439
"G0500610","2005-2009",,,"Arkansas","05","Howard County","061",,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Arkansas",33180,68600,"Howard County, Arkansas",2385,4569
