FIPS Code,phys,health,hburden,unemp,medinc,foodaccess
6067009634,22.98,43.67,21.7,13.36,37356,Not Low Income and Low Access
6067003102,22.31,45.47,21.1,10.45,42933,Not Low Income and Low Access
6067001900,23.75,49.43,17.2,7.35,42534,Not Low Income and Low Access
6067007012,23.02,47.82,21.7,16.8,51289,Not Low Income and Low Access
6067002e3,21.51,44.3,20.6,9.01,32780,Not Low Income and Low Access
6067003203,22.48,43.5,24.2,11.74,32841,Not Low Income and Low Access
6067002500,24.07,54.97,18.5,4.41,100278,Not Low Income and Low Access
6067000400,23.85,50.4,20.5,2.48,55714,Not Low Income and Low Access
6067004906,22.35,43.04,19.9,11.03,45446,Not Low Income and Low Access
6067002600,22.86,49.44,19.4,8.83,79571,Not Low Income and Low Access
6067002800,20.99,40.17,23,13.85,31806,Not Low Income and Low Access
6067000500,24.67,50.56,19.4,6.85,53977,Low Income and Low Access
6067001400,23,47.55,16.2,10.51,31368,Not Low Income and Low Access
6067001300,23.84,50.22,17.4,9.1,46713,Not Low Income and Low Access
6067009633,22.59,44.39,26.3,8.51,41477,Not Low Income and Low Access
6067001200,22.22,47.24,21.8,3.45,35674,Not Low Income and Low Access
6067007013,23.69,49.45,19.2,11.4,60551,Not Low Income and Low Access
6067000800,23.39,49.34,16.3,10.31,60571,Not Low Income and Low Access
6067000700,17.04,28.72,21.278350515463917,34.69,12171,Low Income and Low Access
6067000600,22.23,44.18,22.2,19.27,22106,Not Low Income and Low Access
